utr_number,settlement_amount,settlement_date,narration,bank_ref_type
UTR954080072332,2850.58,2026-04-01,VIVE/RZRPY,UPI
UTR381912653765,7147.32,2026-01-20,RIYA/RZRPY,NEFT
UTR428941115748,2385.86,2026-03-12,IMPS 534,UPI
UTR728703172393,7806.43,2026-03-04,NEFT/SHRE,UPI
UTR983075619976,798.52,2026-01-10,IMPS 294,UPI
UTR342031375564,802.52,2026-01-10,IMPS 873,IMPS
UTR963856048497,2026.09,2026-01-14,PG SETL 613,UPI
UTR503604474507,2029.7,2026-01-14,GAUR UPI,UPI
UTR632336233214,1452.71,2026-02-07,BANK REVERSAL FEES,UPI
UTR228008204060,729.08,2026-01-10,BANK CHG REVERSAL,IMPS
UTR846723617943,1100.11,2026-02-20,MISC CR ADJ,UPI
UTR967971241676,622.13,2026-02-03,SWEEP ACCOUNT CREDIT,NEFT
UTR505680216951,1025.6,2026-03-28,NEFT MISC CREDIT,RTGS
UTR809620368716,2103.73,2026-03-03,FITZONE WELLNESS PVT LTD,NEFT
UTR430872306667,2170.34,2026-03-27,FZW PRIVATE LIMITED RZRPY,RTGS
UTR867695941207,2642.99,2026-01-20,FITZONE WELLNESS P LTD SETL,RTGS
