rzp_payment_id,order_id,amount,currency,rzp_fee,captured_at,method,status
pay_0cb6b5910c9f4a,ORD130094,2735.11,INR,64.55,2026-03-04,netbanking,captured
pay_06b3986021de44,ORD682789,7594.89,INR,179.24,2026-01-11,wallet,captured
pay_d6473bd8492841,ORD777278,6384.88,INR,150.68,2026-01-12,card,captured
pay_30a90dc0bed649,ORD596249,3518.93,INR,83.05,2026-03-12,netbanking,captured
pay_3da32892195b48,ORD856321,1132.53,INR,26.73,2026-03-10,card,captured
pay_87a8733f67b441,ORD205409,1974.37,INR,46.6,2026-01-23,upi,captured
pay_71ee08b855bb43,ORD831295,6974.0,INR,164.59,2026-03-04,upi,captured
pay_fc9e71733df44d,ORD293319,7540.3,INR,177.95,2026-03-03,upi,captured
pay_4b3053f8b12b4d,ORD256445,7952.56,INR,187.68,2026-01-16,wallet,captured
pay_737cc5cd14214c,ORD572398,6909.3,INR,163.06,2026-02-24,upi,captured
pay_c4e781ec8f9a46,ORD377501,2070.95,INR,48.87,2026-03-12,card,captured
pay_c300b35a50f34a,ORD134225,5714.26,INR,134.86,2026-03-31,upi,captured
pay_06858cfee38747,ORD220351,1362.12,INR,32.15,2026-02-04,upi,captured
pay_881bcdb2981143,ORD230394,2571.91,INR,60.7,2026-02-21,wallet,captured
pay_b77eb0abed0645,ORD733039,912.35,INR,21.53,2026-03-28,upi,captured
pay_a89fd9d6e9ba41,ORD733039,912.35,INR,0.0,2026-03-28,upi,failed
pay_30e33a8c570a4a,ORD593355,3649.39,INR,86.13,2026-02-05,wallet,captured
pay_3e7527d4b5864a,ORD593355,3649.39,INR,0.0,2026-02-05,wallet,failed
pay_79934bf0957c47,ORD528184,5427.04,INR,128.08,2026-01-21,wallet,captured
pay_fc02817b8be449,ORD528184,5427.04,INR,0.0,2026-01-21,wallet,failed
pay_51d9f5ecb2f647,ORD576919,2168.71,INR,51.18,2026-01-15,upi,captured
pay_237c124d88824a,ORD576919,2168.71,INR,0.0,2026-01-15,upi,failed
pay_f38aae47f2f24c,ORD296694,5056.54,INR,119.33,2026-03-05,wallet,captured
pay_02bf6ebcd88747,ORD296694,5056.54,INR,0.0,2026-03-05,wallet,failed
pay_d0dbe01bc2934a,ORD559398,1115.48,INR,26.33,2026-01-31,card,captured
pay_677ea11f919f4c,ORD335615,4788.24,INR,113.0,2026-01-20,netbanking,captured
pay_95ce86db791b40,ORD595158,3205.06,INR,75.64,2026-03-18,card,captured
pay_a291ac85170342,ORD456385,4282.2,INR,101.06,2026-02-08,wallet,captured
pay_7b07a2ab10b245,ORD678727,4731.41,INR,111.66,2026-03-31,wallet,captured
pay_5f15b8a8eb614a,ORD880879,7324.76,INR,172.86,2026-03-25,card,captured
pay_c9bd4311c2fa46,ORD138817,7729.76,INR,182.42,2026-03-30,wallet,captured
pay_a85432579eb449,ORD651499,5835.06,INR,137.71,2026-03-29,upi,captured
pay_a01a36ab9ed143,ORD919488,5061.42,INR,119.45,2026-03-30,netbanking,captured
pay_8670f587d5d748,ORD659543,5089.03,INR,120.1,2026-03-23,upi,captured
pay_417c488a84c84e,ORD171744,5538.32,INR,0.0,2026-02-06,card,failed
pay_7dcf4f41536243,ORD555052,5143.23,INR,0.0,2026-01-13,wallet,failed
pay_c81f76b0d6b241,ORD827712,425.79,INR,0.0,2026-02-11,upi,failed
pay_c293dc5bd3ec43,ORD475876,1335.44,INR,0.0,2026-03-09,wallet,failed
pay_1c423530570c40,ORD814919,1565.54,INR,0.0,2026-03-20,wallet,failed
pay_f0e4a21704314b,ORD816318,7320.07,INR,172.75,2026-01-19,wallet,captured
pay_3883bf20a7a24b,ORD943718,2443.53,INR,57.67,2026-03-11,upi,captured
pay_e1d35afe52454e,ORD579027,7995.11,INR,188.68,2026-03-03,card,captured
pay_b02ae0aa01174f,ORD833247,817.82,INR,19.3,2026-01-07,wallet,captured
pay_75d6642b0f6940,ORD409571,821.92,INR,19.4,2026-01-07,wallet,captured
pay_c5bd1b85bee442,ORD758765,2075.06,INR,48.97,2026-01-12,wallet,captured
pay_1fddb0ed858741,ORD201883,2078.76,INR,49.06,2026-01-12,wallet,captured
pay_eb083b8a12614e,ORD962367,2154.58,INR,50.85,2026-03-02,netbanking,captured
pay_c34bdea7eb0543,ORD766269,2222.8,INR,52.46,2026-03-25,upi,captured
pay_721b4a2e4fc84f,ORD221761,2706.87,INR,63.88,2026-01-18,wallet,captured
